Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Lost 80's Live in Las Vegas,09/08/18 05:30 PM,"Downtown Las Vegas Events Center, 200 South 3rd Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/846/288-1.jpeg_/lost-80s-live-88.jpeg,,PST,09/09/18 05:30 PM,"(36.1686667, -115.1446407)"
Kenny Loggins in Las Vegas,09/05/18 08:00 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/885/666-9.png_/kenny-loggins-66.png,,PST,09/06/18 08:00 PM,"(36.1290754, -115.1652896)"
Jake Shimabukuro in Las Vegas,04/06/18 07:00 PM,"Cabaret Jazz at Smith Center Las Vegas, 361 Symphony Park Avenue, Las Vegas, Nevada 89102",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/509/993-5.jpeg_/jake-shimabukuro-93.jpeg,,PST,04/07/18 07:00 PM,"(36.1693011, -115.1521907)"
Jake Shimabukuro in Las Vegas,04/07/18 07:00 PM,"Cabaret Jazz at Smith Center Las Vegas, 361 Symphony Park Avenue, Las Vegas, Nevada 89102",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/509/993-5.jpeg_/jake-shimabukuro-93.jpeg,,PST,04/08/18 07:00 PM,"(36.1693011, -115.1521907)"
The Soft Moon in Las Vegas,04/16/18 10:00 PM,"Bunkhouse, 124 South 11th Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,04/17/18 10:00 PM,"(36.1693011, -115.1521907)"
Charlie Puth & Hailee Steinfeld in Las Vegas,08/12/18 07:30 PM,"Pearl Concert Theater at Palms, 4321 W. Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/020/743/708-4.jpeg_/charlie-puth-08.jpeg,,PST,08/13/18 07:30 PM,"(36.1144832, -115.1948136)"
Niall Horan: Flicker World Tour 2018 in Las Vegas,08/18/18 07:30 PM,"Pearl Concert Theater at Palms, 4321 W. Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/033/801/933-9.jpeg_/niall-horan-33.jpeg,,PST,08/19/18 07:30 PM,"(36.1144832, -115.1948136)"
Nightwish in Las Vegas,04/10/18 08:00 PM,"Brooklyn Bowl, 3545 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/440/505-1.jpeg_/nightwish-05.jpeg,,PST,04/11/18 08:00 PM,"(36.1175056, -115.1696207)"
Kygo in Las Vegas,04/08/18 10:30 AM,"Encore Beach Club, 3121 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/020/757/080-2.jpeg_/kygo-80.jpeg,,PST,04/09/18 10:30 AM,"(36.12933719999999, -115.166063)"
Marshmello in Las Vegas,04/15/18 10:30 AM,"Encore Beach Club, 3121 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/029/593/668-9.jpeg_/marshmello-68.jpeg,,PST,04/16/18 10:30 AM,"(36.12933719999999, -115.166063)"
Gloria Trevi & Alejandra Guzman in Las Vegas,04/07/18 08:00 PM,"Park Theater at Monte Carlo Resort and Casino, 3770 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/293/008-3.jpeg_/gloria-trevi-08.jpeg,,PST,04/08/18 08:00 PM,"(36.1037049, -115.174848)"
